layer,entries,bits,format,q_frac,gamma_fp32_min,gamma_fp32_max,gamma_fp32_mean,clip_low,clip_high,mem,hex,npy,bytes
blocks.0.norm1,384,16,INT16_SQ2.14_assumed,14,-0.0034103195648640394,1.004909634590149,0.45875516533851624,0,0,ckpt_flash_attn/hardware_export/gamma_buffer/blocks_0_norm1_gamma_Q2_14.mem,ckpt_flash_attn/hardware_export/gamma_buffer/blocks_0_norm1_gamma_Q2_14.hex,ckpt_flash_attn/hardware_export/gamma_buffer/blocks_0_norm1_gamma_Q2_14.npy,768
blocks.0.norm2,384,16,INT16_SQ2.14_assumed,14,-0.014030483551323414,2.892163038253784,1.123841404914856,0,92,ckpt_flash_attn/hardware_export/gamma_buffer/blocks_0_norm2_gamma_Q2_14.mem,ckpt_flash_attn/hardware_export/gamma_buffer/blocks_0_norm2_gamma_Q2_14.hex,ckpt_flash_attn/hardware_export/gamma_buffer/blocks_0_norm2_gamma_Q2_14.npy,768
blocks.1.norm1,384,16,INT16_SQ2.14_assumed,14,-0.0028609558939933777,1.3213073015213013,0.5102078318595886,0,0,ckpt_flash_attn/hardware_export/gamma_buffer/blocks_1_norm1_gamma_Q2_14.mem,ckpt_flash_attn/hardware_export/gamma_buffer/blocks_1_norm1_gamma_Q2_14.hex,ckpt_flash_attn/hardware_export/gamma_buffer/blocks_1_norm1_gamma_Q2_14.npy,768
blocks.1.norm2,384,16,INT16_SQ2.14_assumed,14,0.2259325087070465,2.0226569175720215,0.7530727386474609,0,1,ckpt_flash_attn/hardware_export/gamma_buffer/blocks_1_norm2_gamma_Q2_14.mem,ckpt_flash_attn/hardware_export/gamma_buffer/blocks_1_norm2_gamma_Q2_14.hex,ckpt_flash_attn/hardware_export/gamma_buffer/blocks_1_norm2_gamma_Q2_14.npy,768
blocks.2.norm1,384,16,INT16_SQ2.14_assumed,14,0.18652065098285675,1.322043776512146,0.698530375957489,0,0,ckpt_flash_attn/hardware_export/gamma_buffer/blocks_2_norm1_gamma_Q2_14.mem,ckpt_flash_attn/hardware_export/gamma_buffer/blocks_2_norm1_gamma_Q2_14.hex,ckpt_flash_attn/hardware_export/gamma_buffer/blocks_2_norm1_gamma_Q2_14.npy,768
blocks.2.norm2,384,16,INT16_SQ2.14_assumed,14,0.09142744541168213,1.6325151920318604,0.8139510750770569,0,0,ckpt_flash_attn/hardware_export/gamma_buffer/blocks_2_norm2_gamma_Q2_14.mem,ckpt_flash_attn/hardware_export/gamma_buffer/blocks_2_norm2_gamma_Q2_14.hex,ckpt_flash_attn/hardware_export/gamma_buffer/blocks_2_norm2_gamma_Q2_14.npy,768
blocks.3.norm1,384,16,INT16_SQ2.14_assumed,14,0.2692454159259796,1.123278021812439,0.8189876675605774,0,0,ckpt_flash_attn/hardware_export/gamma_buffer/blocks_3_norm1_gamma_Q2_14.mem,ckpt_flash_attn/hardware_export/gamma_buffer/blocks_3_norm1_gamma_Q2_14.hex,ckpt_flash_attn/hardware_export/gamma_buffer/blocks_3_norm1_gamma_Q2_14.npy,768
blocks.3.norm2,384,16,INT16_SQ2.14_assumed,14,0.3392156660556793,1.3705369234085083,0.8100306987762451,0,0,ckpt_flash_attn/hardware_export/gamma_buffer/blocks_3_norm2_gamma_Q2_14.mem,ckpt_flash_attn/hardware_export/gamma_buffer/blocks_3_norm2_gamma_Q2_14.hex,ckpt_flash_attn/hardware_export/gamma_buffer/blocks_3_norm2_gamma_Q2_14.npy,768
blocks.4.norm1,384,16,INT16_SQ2.14_assumed,14,0.2515128552913666,1.173244833946228,0.7951194643974304,0,0,ckpt_flash_attn/hardware_export/gamma_buffer/blocks_4_norm1_gamma_Q2_14.mem,ckpt_flash_attn/hardware_export/gamma_buffer/blocks_4_norm1_gamma_Q2_14.hex,ckpt_flash_attn/hardware_export/gamma_buffer/blocks_4_norm1_gamma_Q2_14.npy,768
blocks.4.norm2,384,16,INT16_SQ2.14_assumed,14,0.22849681973457336,0.9576835632324219,0.7584395408630371,0,0,ckpt_flash_attn/hardware_export/gamma_buffer/blocks_4_norm2_gamma_Q2_14.mem,ckpt_flash_attn/hardware_export/gamma_buffer/blocks_4_norm2_gamma_Q2_14.hex,ckpt_flash_attn/hardware_export/gamma_buffer/blocks_4_norm2_gamma_Q2_14.npy,768
