layer,safe_layer,scheme,lut_bits,n_entries,output_bits,output_format,q_frac,mean_sq_min,mean_sq_max,index_scale,error_max_percent,mem,hex,coe,npy,bytes,kb
blocks.0.norm1,blocks_0_norm1,B_per_layer,10,1024,16,UINT16_UQ2.14,14,0.0,9.184033298492432,111.38896895854313,0.705922510402496,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_0_norm1_10bit_Q2_14.mem,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_0_norm1_10bit_Q2_14.hex,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_0_norm1_10bit_Q2_14.coe,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_0_norm1_10bit_Q2_14.npy,2048,2.0
blocks.0.norm2,blocks_0_norm2,B_per_layer,10,1024,16,UINT16_UQ2.14,14,0.0,6.883847808837891,148.60874737622933,1.7392556049259107,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_0_norm2_10bit_Q2_14.mem,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_0_norm2_10bit_Q2_14.hex,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_0_norm2_10bit_Q2_14.coe,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_0_norm2_10bit_Q2_14.npy,2048,2.0
blocks.1.norm1,blocks_1_norm1,B_per_layer,10,1024,16,UINT16_UQ2.14,14,0.0,6.271824288368225,163.11043692618492,0.21881105968752645,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_1_norm1_10bit_Q2_14.mem,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_1_norm1_10bit_Q2_14.hex,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_1_norm1_10bit_Q2_14.coe,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_1_norm1_10bit_Q2_14.npy,2048,2.0
blocks.1.norm2,blocks_1_norm2,B_per_layer,10,1024,16,UINT16_UQ2.14,14,0.0,4.793709683418274,213.40466310227708,0.3103062710776472,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_1_norm2_10bit_Q2_14.mem,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_1_norm2_10bit_Q2_14.hex,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_1_norm2_10bit_Q2_14.coe,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_1_norm2_10bit_Q2_14.npy,2048,2.0
blocks.10.norm1,blocks_10_norm1,B_per_layer,10,1024,16,UINT16_UQ2.14,14,0.0,281.79185943603517,3.6303390809350686,2.7131477354285316,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_10_norm1_10bit_Q2_14.mem,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_10_norm1_10bit_Q2_14.hex,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_10_norm1_10bit_Q2_14.coe,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_10_norm1_10bit_Q2_14.npy,2048,2.0
blocks.10.norm2,blocks_10_norm2,B_per_layer,10,1024,16,UINT16_UQ2.14,14,0.0,278.601741027832,3.671908137493668,2.263452330852883,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_10_norm2_10bit_Q2_14.mem,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_10_norm2_10bit_Q2_14.hex,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_10_norm2_10bit_Q2_14.coe,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_10_norm2_10bit_Q2_14.npy,2048,2.0
blocks.11.norm1,blocks_11_norm1,B_per_layer,10,1024,16,UINT16_UQ2.14,14,0.0,276.9035339355469,3.694427389424786,1.3466369043310262,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_11_norm1_10bit_Q2_14.mem,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_11_norm1_10bit_Q2_14.hex,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_11_norm1_10bit_Q2_14.coe,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_11_norm1_10bit_Q2_14.npy,2048,2.0
blocks.11.norm2,blocks_11_norm2,B_per_layer,10,1024,16,UINT16_UQ2.14,14,0.0,220.53646545410157,4.638688653568307,0.6657459692829704,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_11_norm2_10bit_Q2_14.mem,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_11_norm2_10bit_Q2_14.hex,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_11_norm2_10bit_Q2_14.coe,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_11_norm2_10bit_Q2_14.npy,2048,2.0
blocks.2.norm1,blocks_2_norm1,B_per_layer,10,1024,16,UINT16_UQ2.14,14,0.0,3.753503966331482,272.54533608494825,0.1647323945147903,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_2_norm1_10bit_Q2_14.mem,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_2_norm1_10bit_Q2_14.hex,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_2_norm1_10bit_Q2_14.coe,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_2_norm1_10bit_Q2_14.npy,2048,2.0
blocks.2.norm2,blocks_2_norm2,B_per_layer,10,1024,16,UINT16_UQ2.14,14,0.0,3.2200026869773866,317.70159824316454,0.15711232298281183,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_2_norm2_10bit_Q2_14.mem,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_2_norm2_10bit_Q2_14.hex,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_2_norm2_10bit_Q2_14.coe,ckpt_flash_attn/hardware_export/rmsnorm_inv_sqrt_lut/per_layer_B/rms_inv_sqrt_lut_B_blocks_2_norm2_10bit_Q2_14.npy,2048,2.0
