Exp ID,Method,Bits,Top-1(%),Macro-F1,Drop_vs_RMSFP32(pp),Category
EXP-DECOMP-LN,LN-FP32 (pretrained),32,74.27,0.7414,-11.577,Decomp
EXP-DECOMP-RMS,RMS-FP32 (baseline),32,62.69,0.6235,0.0,Decomp
EXP-FP16,FP16,16,62.69,0.6234,0.0,FP16
EXP-MP-FP32,INT8(bulk)+FP32(sensitive),8+mix,62.67,0.6233,0.021,Mixed-P
EXP-MP-INT16,INT8(bulk)+INT16(sensitive),8+mix,62.66,0.6232,0.031,Mixed-P
EXP-MP-INT12,INT8(bulk)+INT12(sensitive),8+mix,62.66,0.6232,0.031,Mixed-P
EXP-BW-INT12,PTQ-MinMax-PC-INT12,12,62.72,0.6237,-0.021,PTQ-BW
EXP-BW-INT16,PTQ-MinMax-PC-INT16,16,62.7,0.6236,-0.01,PTQ-BW
EXP-BW-INT4,PTQ-MinMax-PC-INT4,4,51.27,0.5101,11.422,PTQ-BW
EXP-BW-INT6,PTQ-MinMax-PC-INT6,6,62.19,0.6183,0.505,PTQ-BW
EXP-BW-INT8,PTQ-MinMax-PC-INT8,8,62.61,0.6225,0.082,PTQ-BW
EXP-CAL-MinMax,PTQ-INT8-PC-MinMax,8,62.61,0.6225,0.082,PTQ-CAL
EXP-CAL-Pct-99.9%,PTQ-INT8-PC-Pct-99.9%,8,62.14,0.6181,0.556,PTQ-CAL
EXP-CAL-Pct-99.99%,PTQ-INT8-PC-Pct-99.99%,8,62.62,0.623,0.072,PTQ-CAL
EXP-GRAN-INT12-PT,PTQ INT12 per_tensor,12,62.74,0.6239,-0.041,PTQ-GRAN
EXP-GRAN-INT12-PC,PTQ INT12 per_channel,12,62.72,0.6237,-0.021,PTQ-GRAN
EXP-GRAN-INT12-PB,PTQ INT12 per_block,12,62.69,0.6234,0.0,PTQ-GRAN
EXP-GRAN-INT16-PT,PTQ INT16 per_tensor,16,62.72,0.6237,-0.021,PTQ-GRAN
EXP-GRAN-INT16-PC,PTQ INT16 per_channel,16,62.7,0.6236,-0.01,PTQ-GRAN
EXP-GRAN-INT16-PB,PTQ INT16 per_block,16,62.7,0.6236,-0.01,PTQ-GRAN
EXP-GRAN-INT8-PT,PTQ INT8 per_tensor,8,62.14,0.6178,0.556,PTQ-GRAN
EXP-GRAN-INT8-PC,PTQ INT8 per_channel,8,62.61,0.6225,0.082,PTQ-GRAN
EXP-GRAN-INT8-PB,PTQ INT8 per_block,8,61.93,0.6162,0.762,PTQ-GRAN
EXP-QAT-INT12,QAT-STE-INT12,12,63.35,0.6298,-0.659,QAT
EXP-QAT-INT16,QAT-STE-INT16,16,63.2,0.6287,-0.505,QAT
EXP-QAT-INT4,QAT-STE-INT4,4,61.22,0.608,1.473,QAT
EXP-QAT-INT6,QAT-STE-INT6,6,63.24,0.6291,-0.546,QAT
EXP-QAT-INT8,QAT-STE-INT8,8,63.24,0.6289,-0.546,QAT
