model,model_source,section,kind,dtype,macs,math_macs,lut_accesses,dram_read_bytes,dram_write_bytes,dram_total_bytes,bram_read_bytes,bram_write_bytes,bram_total_bytes,dram_usage_bytes,bram_usage_bytes,bram_usage_ramb36,compute_cycles,dram_cycles,bram_cycles,memory_cycles,cycles_total,latency_ms,performance_macs_per_cycle,operational_intensity,total_memory_intensity,peak_macs_per_cycle,peak_dram_bytes_per_cycle,bound,energy_compute_uj,energy_bram_uj,energy_dram_uj,energy_lut_uj,energy_leakage_uj,energy_total_uj,notes
Baseline-B FP32 hardware-aware tiled,parsed_from_timm,Norm,elementwise,FP32,798720,798720,0,1923072,638976,2562048,0,0,0,645120,0,0,3120.0,244004.57142857142,0.0,244004.57142857142,247124.57142857142,2.4712457142857143,3.2320541635450484,0.3117505995203837,0.3117505995203837,256.0,10.5,memory,3.19488,0.0,512.4096,0.0,494.2491428571429,1009.8536228571429,"Baseline-B: FP32 tiled model, all tile operands/results access DRAM; no BRAM reuse. Uses LayerNorm-style multi-pass FP32 normalization."
Baseline-B FP32 hardware-aware tiled,parsed_from_timm,QKV Projection,gemm,FP32,92012544,92012544,0,46066176,958464,47024640,0,0,0,3052032,0,0,359424.0,4478537.142857143,0.0,4478537.142857143,4837961.142857143,48.37961142857142,19.0188679245283,1.956687898089172,1.956687898089172,256.0,10.5,memory,368.050176,0.0,9404.928,0.0,9675.922285714285,19448.900461714285,"Baseline-B: FP32 tiled model, all tile operands/results access DRAM; no BRAM reuse."
Baseline-B FP32 hardware-aware tiled,parsed_from_timm,Attention Score,gemm,FP32,16613376,16613376,0,8306688,1038336,9345024,0,0,0,1677312,0,0,64896.0,890002.2857142857,0.0,890002.2857142857,954898.2857142857,9.548982857142857,17.398058252427184,1.7777777777777777,1.7777777777777777,256.0,10.5,memory,66.453504,0.0,1869.0048,0.0,1909.7965714285713,3845.2548754285713,"Baseline-B: FP32 tiled model, all tile operands/results access DRAM; no BRAM reuse."
Baseline-B FP32 hardware-aware tiled,parsed_from_timm,Softmax,softmax,FP32,1297920,1297920,0,3115008,1038336,4153344,0,0,0,2076672,0,0,5070.0,395556.5714285714,0.0,395556.5714285714,400626.5714285714,4.006265714285714,3.239725201880198,0.3125,0.3125,256.0,10.5,memory,5.19168,0.0,830.6688,0.0,801.2531428571428,1637.113622857143,"Baseline-B: FP32 tiled model, all tile operands/results access DRAM; no BRAM reuse. Uses standard FP32 softmax; exp/division modeled as elementwise operations, not LUT."
Baseline-B FP32 hardware-aware tiled,parsed_from_timm,Attention Value,gemm,FP32,16613376,16613376,0,8306688,319488,8626176,0,0,0,1677312,0,0,64896.0,821540.5714285715,0.0,821540.5714285715,886436.5714285715,8.864365714285714,18.74175382139984,1.9259259259259258,1.9259259259259258,256.0,10.5,memory,66.453504,0.0,1725.2352,0.0,1772.8731428571432,3564.5618468571433,"Baseline-B: FP32 tiled model, all tile operands/results access DRAM; no BRAM reuse."
Baseline-B FP32 hardware-aware tiled,parsed_from_timm,Output Projection,gemm_elementwise,FP32,30670848,30670848,0,15674880,638976,16313856,0,0,0,1230336,0,0,119808.0,1553700.5714285714,0.0,1553700.5714285714,1673508.5714285714,16.735085714285713,18.327272727272728,1.8800489596083232,1.8800489596083232,256.0,10.5,memory,122.683392,0.0,3262.7712,0.0,3347.017142857143,6732.471734857143,"Baseline-B: FP32 tiled model, all tile operands/results access DRAM; no BRAM reuse."
Baseline-B FP32 hardware-aware tiled,parsed_from_timm,MLP,gemm_elementwise,FP32,246644736,246644736,0,124380672,3194880,127575552,0,0,0,6643200,0,0,963456.0,12150052.57142857,0.0,12150052.57142857,13113508.57142857,131.1350857142857,18.808447385117375,1.933322898732196,1.933322898732196,256.0,10.5,memory,986.578944,0.0,25515.1104,0.0,26227.01714285714,52728.70648685715,"Baseline-B: FP32 tiled model, all tile operands/results access DRAM; no BRAM reuse. No FC1+GELU fusion: hidden activation is materialized in DRAM."
Optimized INT8 hardware-aware,parsed_from_checkpoint:rms_qat_best.pt,Norm,elementwise,INT8/INT32,319488,319488,416,1536,0,1536,162112,159744,321856,1536,161696,40,624.0,146.28571428571428,10058.0,10204.285714285714,10828.285714285714,0.10828285714285714,29.504947360088657,208.0,0.9879279635859886,512.0,10.5,on-chip-memory,0.319488,1.60928,0.3072,0.000416,21.65657142857143,23.89295542857143,Optimized INT8 hardware-aware model with maximum weight reuse loop ordering. LayerNorm is replaced by streaming RMSNorm with inv-rms/gamma buffers and LUT-like reciprocal sqrt support.
Optimized INT8 hardware-aware,parsed_from_checkpoint:rms_qat_best.pt,QKV Projection,gemm,INT8/INT32,92012544,92012544,0,446976,0,446976,11501568,239616,11741184,446976,331776,81,179712.0,42569.142857142855,366912.0,409481.14285714284,366912.0,3.66912,250.77551020408163,205.8556701030928,7.549338374291115,512.0,10.5,on-chip-memory,92.012544,58.70592,89.3952,0.0,733.8240000000001,973.937664,"Optimized INT8 hardware-aware model with maximum weight reuse loop ordering. W_qkv tile [384,16] is loaded once per N-tile and reused across all token M-tiles. Ping-pong uses max(compute, DRAM preload, BRAM service) as the latency lower bound."
Optimized INT8 hardware-aware,parsed_from_checkpoint:rms_qat_best.pt,Attention Score,gemm,INT8/INT32,16613376,16613376,0,0,0,0,2076672,1038336,3115008,0,492544,121,32448.0,0.0,97344.0,97344.0,97344.0,0.97344,170.66666666666666,,5.333333333333333,512.0,10.5,on-chip,16.613376,15.57504,0.0,0.0,194.68800000000002,226.876416,"Optimized INT8 hardware-aware model with maximum weight reuse loop ordering. Q/K/V remain on-chip; current-head INT32 score buffer is materialized in shared intermediate BRAM. Ping-pong uses max(compute, DRAM preload, BRAM service) as the latency lower bound."
